Year4,Year4ET,Year3,Year3ET,Year2,Year2ET,Year1,Year1ET,Average
2018-03-03,0.07,2019-03-03,0.02,2020-03-02,0.21,2021-03-03,0.14,0.11
2018-03-04,0.08,2019-03-04,0.05,2020-03-03,0.2,2021-03-04,0.13,0.115
2018-03-05,0.12,2019-03-05,0,2020-03-04,0.13,2021-03-05,0.16,0.1025
2018-03-06,0.11,2019-03-06,0.06,2020-03-05,0.13,2021-03-06,0.1,0.1
2018-03-07,0.12,2019-03-07,0.08,2020-03-06,0.09,2021-03-07,0.12,0.1025
2018-03-08,0.09,2019-03-08,0.07,2020-03-07,0.05,2021-03-08,0.1,0.0775
2018-03-09,0.06,2019-03-09,0.03,2020-03-08,0.07,2021-03-09,0.07,0.0575
2018-03-10,0.11,2019-03-10,0.11,2020-03-09,0.11,2021-03-10,0.04,0.0925
2018-03-11,0.13,2019-03-11,0.15,2020-03-10,0.16,2021-03-11,0.12,0.14
2018-03-12,0.11,2019-03-12,0.16,2020-03-11,0.13,2021-03-12,0.16,0.14
2018-03-13,0.03,2019-03-13,0.16,2020-03-12,0.22,2021-03-13,0.13,0.135
2018-03-14,0.06,2019-03-14,0.15,2020-03-13,0.19,2021-03-14,0.05,0.1125
2018-03-15,0.03,2019-03-15,0.14,2020-03-14,0.13,2021-03-15,0.09,0.0975
2018-03-16,0.07,2019-03-16,0.14,2020-03-15,0.07,2021-03-16,0.12,0.1
2018-03-17,0.1,2019-03-17,0.14,2020-03-16,0.06,2021-03-17,0.12,0.105
2018-03-18,0.11,2019-03-18,0.14,2020-03-17,0.01,2021-03-18,0.01,0.0675
2018-03-19,0.13,2019-03-19,0.09,2020-03-18,0.02,2021-03-19,0.11,0.0875
2018-03-20,0.03,2019-03-20,0.07,2020-03-19,0.12,2021-03-20,0.13,0.0875
2018-03-21,0.01,2019-03-21,0.14,2020-03-20,0.13,2021-03-21,0.16,0.11
2018-03-22,0.12,2019-03-22,0.02,2020-03-21,0.14,2021-03-22,0.13,0.1025
2018-03-23,0.15,2019-03-23,0.07,2020-03-22,0.15,2021-03-23,0.23,0.15
2018-03-24,0.13,2019-03-24,0.12,2020-03-23,0.16,2021-03-24,0.16,0.1425
2018-03-25,0.13,2019-03-25,0.01,2020-03-24,0.06,2021-03-25,0.2,0.1
2018-03-26,0.19,2019-03-26,0.07,2020-03-25,0.12,2021-03-26,0.17,0.1375
2018-03-27,0.21,2019-03-27,0.13,2020-03-26,0.13,2021-03-27,0.17,0.16
2018-03-28,0.23,2019-03-28,0.1,2020-03-27,0.14,2021-03-28,0.17,0.16
2018-03-29,0.2,2019-03-29,0.14,2020-03-28,0.07,2021-03-29,0.29,0.175
2018-03-30,0.16,2019-03-30,0.18,2020-03-29,0.09,2021-03-30,0.25,0.17
2018-03-31,0.16,2019-03-31,0.17,2020-03-30,0.07,2021-03-31,0.2,0.15
2018-04-01,0.18,2019-04-01,0.07,2020-03-31,0.18,2021-04-01,0.18,0.1525
2018-04-02,0.22,2019-04-02,0.07,2020-04-01,0.2,2021-04-02,0.16,0.1625
2018-04-03,0.18,2019-04-03,0.07,2020-04-02,0.19,2021-04-03,0.17,0.1525
2018-04-04,0.15,2019-04-04,0.11,2020-04-03,0.16,2021-04-04,0.14,0.14
2018-04-05,0.05,2019-04-05,0.06,2020-04-04,0.03,2021-04-05,0.15,0.0725
2018-04-06,0,2019-04-06,0.08,2020-04-05,0.09,2021-04-06,0.17,0.085
2018-04-07,0.19,2019-04-07,0.13,2020-04-06,0.14,2021-04-07,0.17,0.1575
2018-04-08,0.16,2019-04-08,0.08,2020-04-07,0.14,2021-04-08,0.17,0.1375
2018-04-09,0.18,2019-04-09,0.21,2020-04-08,0.19,2021-04-09,0.18,0.19
2018-04-10,0.09,2019-04-10,0.22,2020-04-09,0.08,2021-04-10,0.19,0.145
2018-04-11,0.06,2019-04-11,0.15,2020-04-10,0.18,2021-04-11,0.25,0.16
2018-04-12,0.16,2019-04-12,0.22,2020-04-11,0.18,2021-04-12,0.24,0.2
2018-04-13,0.18,2019-04-13,0.19,2020-04-12,0.21,2021-04-13,0.27,0.2125
2018-04-14,0.19,2019-04-14,0.08,2020-04-13,0.24,2021-04-14,0.21,0.18
2018-04-15,0.09,2019-04-15,0.08,2020-04-14,0.22,2021-04-15,0.18,0.1425
2018-04-16,0.16,2019-04-16,0.17,2020-04-15,0.19,2021-04-16,0.23,0.1875
2018-04-17,0.16,2019-04-17,0.19,2020-04-16,0.22,2021-04-17,0.25,0.205
2018-04-18,0.12,2019-04-18,0.2,2020-04-17,0.2,2021-04-18,0.24,0.19
2018-04-19,0.22,2019-04-19,0.19,2020-04-18,0.14,2021-04-19,0.21,0.19
2018-04-20,0.21,2019-04-20,0.12,2020-04-19,0.16,2021-04-20,0.23,0.18
2018-04-21,0.22,2019-04-21,0.24,2020-04-20,0.14,2021-04-21,0.28,0.22
2018-04-22,0.21,2019-04-22,0.27,2020-04-21,0.19,2021-04-22,0.2,0.2175
2018-04-23,0.25,2019-04-23,0.25,2020-04-22,0.2,2021-04-23,0.17,0.2175
2018-04-24,0.21,2019-04-24,0.23,2020-04-23,0.24,2021-04-24,0.18,0.215
2018-04-25,0.21,2019-04-25,0.23,2020-04-24,0.24,2021-04-25,0.09,0.1925
2018-04-26,0.22,2019-04-26,0.22,2020-04-25,0.15,2021-04-26,0.18,0.1925
2018-04-27,0.14,2019-04-27,0.22,2020-04-26,0.23,2021-04-27,0.24,0.2075
2018-04-28,0.14,2019-04-28,0.21,2020-04-27,0.22,2021-04-28,0.23,0.2
2018-04-29,0.18,2019-04-29,0.25,2020-04-28,0.24,2021-04-29,0.22,0.2225
2018-04-30,0.2,2019-04-30,0.21,2020-04-29,0.18,2021-04-30,0.21,0.2
2018-05-01,0.23,2019-05-01,0.22,2020-04-30,0.21,2021-05-01,0.23,0.2225
2018-05-02,0.23,2019-05-02,0.22,2020-05-01,0.22,2021-05-02,0.32,0.2475
2018-05-03,0.21,2019-05-03,0.23,2020-05-02,0.21,2021-05-03,0.33,0.245
2018-05-04,0.21,2019-05-04,0.23,2020-05-03,0.22,2021-05-04,0.27,0.2325
2018-05-05,0.17,2019-05-05,0.25,2020-05-04,0.22,2021-05-05,0.27,0.2275
2018-05-06,0.23,2019-05-06,0.23,2020-05-05,0.27,2021-05-06,0.27,0.25
2018-05-07,0.23,2019-05-07,0.22,2020-05-06,0.34,2021-05-07,0.31,0.275
2018-05-08,0.26,2019-05-08,0.23,2020-05-07,0.32,2021-05-08,0.38,0.2975
2018-05-09,0.24,2019-05-09,0.28,2020-05-08,0.26,2021-05-09,0.39,0.2925
2018-05-10,0.24,2019-05-10,0.31,2020-05-09,0.26,2021-05-10,0.35,0.29
2018-05-11,0.39,2019-05-11,0.23,2020-05-10,0.29,2021-05-11,0.29,0.3
2018-05-12,0.3,2019-05-12,0.24,2020-05-11,0.07,2021-05-12,0.29,0.225
2018-05-13,0.24,2019-05-13,0.24,2020-05-12,0.16,2021-05-13,0.26,0.225
2018-05-14,0.24,2019-05-14,0.16,2020-05-13,0.1,2021-05-14,0.24,0.185
2018-05-15,0.23,2019-05-15,0.07,2020-05-14,0.19,2021-05-15,0.2,0.1725
2018-05-16,0.17,2019-05-16,0.15,2020-05-15,0.23,2021-05-16,0.26,0.2025
2018-05-17,0.23,2019-05-17,0.16,2020-05-16,0.12,2021-05-17,0.25,0.19
2018-05-18,0.25,2019-05-18,0.02,2020-05-17,0.18,2021-05-18,0.26,0.1775
2018-05-19,0.25,2019-05-19,0.12,2020-05-18,0.09,2021-05-19,0.28,0.185
2018-05-20,0.22,2019-05-20,0.21,2020-05-19,0.21,2021-05-20,0.33,0.2425
2018-05-21,0.27,2019-05-21,0.13,2020-05-20,0.21,2021-05-21,0.31,0.23
2018-05-22,0.26,2019-05-22,0.25,2020-05-21,0.25,2021-05-22,0.27,0.2575
2018-05-23,0.23,2019-05-23,0.27,2020-05-22,0.32,2021-05-23,0.25,0.2675
2018-05-24,0.25,2019-05-24,0.22,2020-05-23,0.29,2021-05-24,0.28,0.26
2018-05-25,0.01,2019-05-25,0.24,2020-05-24,0.29,2021-05-25,0.26,0.2
2018-05-26,0.18,2019-05-26,0.1,2020-05-25,0.29,2021-05-26,0.29,0.215
2018-05-27,0.31,2019-05-27,0.18,2020-05-26,0.25,2021-05-27,0.22,0.24
2018-05-28,0.34,2019-05-28,0.26,2020-05-27,0.28,2021-05-28,0.27,0.2875
2018-05-29,0.31,2019-05-29,0.25,2020-05-28,0.28,2021-05-29,0.26,0.275
2018-05-30,0.3,2019-05-30,0.2,2020-05-29,0.28,2021-05-30,0.3,0.27
2018-05-31,0.21,2019-05-31,0.26,2020-05-30,0.15,2021-05-31,0.32,0.235
2018-06-01,0.28,2019-06-01,0.28,2020-05-31,0.21,2021-06-01,0.29,0.265
2018-06-02,0.3,2019-06-02,0.26,2020-06-01,0.24,2021-06-02,0.29,0.2725
2018-06-03,0.3,2019-06-03,0.26,2020-06-02,0.27,2021-06-03,0.28,0.2775
2018-06-04,0.29,2019-06-04,0.3,2020-06-03,0.27,2021-06-04,0.29,0.2875
2018-06-05,0.26,2019-06-05,0.3,2020-06-04,0.3,2021-06-05,0.29,0.2875
2018-06-06,0.27,2019-06-06,0.3,2020-06-05,0.3,2021-06-06,0.34,0.3025
2018-06-07,0.25,2019-06-07,0.37,2020-06-06,0.24,2021-06-07,0.3,0.29
2018-06-08,0.29,2019-06-08,0.37,2020-06-07,0.27,2021-06-08,0.28,0.3025
2018-06-09,0.28,2019-06-09,0.33,2020-06-08,0.27,2021-06-09,0.23,0.2775
2018-06-10,0.26,2019-06-10,0.29,2020-06-09,0.23,2021-06-10,0.25,0.2575
2018-06-11,0.31,2019-06-11,0.28,2020-06-10,0.29,2021-06-11,0.24,0.28
2018-06-12,0.3,2019-06-12,0.2,2020-06-11,0.28,2021-06-12,0.26,0.26
2018-06-13,0.3,2019-06-13,0.24,2020-06-12,0.23,2021-06-13,0.33,0.275
2018-06-14,0.3,2019-06-14,0.26,2020-06-13,0.18,2021-06-14,0.3,0.26
2018-06-15,0.27,2019-06-15,0.2,2020-06-14,0.24,2021-06-15,0.28,0.2475
2018-06-16,0.27,2019-06-16,0.25,2020-06-15,0.13,2021-06-16,0.31,0.24
2018-06-17,0.25,2019-06-17,0.32,2020-06-16,0.3,2021-06-17,0.35,0.305
2018-06-18,0.25,2019-06-18,0.35,2020-06-17,0.37,2021-06-18,0.3,0.3175
2018-06-19,0.27,2019-06-19,0.34,2020-06-18,0.33,2021-06-19,0.3,0.31
2018-06-20,0.3,2019-06-20,0.4,2020-06-19,0.28,2021-06-20,0.31,0.3225
2018-06-21,0.27,2019-06-21,0.43,2020-06-20,0.27,2021-06-21,0.32,0.3225
2018-06-22,0.35,2019-06-22,0.35,2020-06-21,0.28,2021-06-22,0.29,0.3175
2018-06-23,0.46,2019-06-23,0.29,2020-06-22,0.29,2021-06-23,0.28,0.33
2018-06-24,0.37,2019-06-24,0.25,2020-06-23,0.29,2021-06-24,0.27,0.295
2018-06-25,0.27,2019-06-25,0.28,2020-06-24,0.26,2021-06-25,0.28,0.2725
2018-06-26,0.29,2019-06-26,0.31,2020-06-25,0.33,2021-06-26,0.29,0.305
2018-06-27,0.3,2019-06-27,0.24,2020-06-26,0.31,2021-06-27,0.29,0.285
2018-06-28,0.27,2019-06-28,0.27,2020-06-27,0.31,2021-06-28,0.29,0.285
2018-06-29,0.39,2019-06-29,0.27,2020-06-28,0.33,2021-06-29,0.29,0.32
2018-06-30,0.44,2019-06-30,0.29,2020-06-29,0.37,2021-06-30,0.32,0.355
2018-07-01,0.35,2019-07-01,0.25,2020-06-30,0.3,2021-07-01,0.28,0.295
2018-07-02,0.31,2019-07-02,0.27,2020-07-01,0.29,2021-07-02,0.29,0.29
2018-07-03,0.3,2019-07-03,0.27,2020-07-02,0.29,2021-07-03,0.31,0.2925
2018-07-04,0.29,2019-07-04,0.27,2020-07-03,0.28,2021-07-04,0.3,0.285
2018-07-05,0.3,2019-07-05,0.27,2020-07-04,0.28,2021-07-05,0.3,0.2875
2018-07-06,0.14,2019-07-06,0.27,2020-07-05,0.3,2021-07-06,0.28,0.2475
2018-07-07,0.28,2019-07-07,0.27,2020-07-06,0.32,2021-07-07,0.29,0.29
2018-07-08,0.29,2019-07-08,0.26,2020-07-07,0.28,2021-07-08,0.29,0.28
2018-07-09,0.29,2019-07-09,0.22,2020-07-08,0.3,2021-07-09,0.31,0.28
2018-07-10,0.32,2019-07-10,0.26,2020-07-09,0.29,2021-07-10,0.3,0.2925
2018-07-11,0.29,2019-07-11,0.27,2020-07-10,0.3,2021-07-11,0.31,0.2925
2018-07-12,0.29,2019-07-12,0.27,2020-07-11,0.3,2021-07-12,0.29,0.2875
2018-07-13,0.16,2019-07-13,0.27,2020-07-12,0.3,2021-07-13,0.3,0.2575
2018-07-14,0.28,2019-07-14,0.28,2020-07-13,0.29,2021-07-14,0.28,0.2825
2018-07-15,0.28,2019-07-15,0.27,2020-07-14,0.27,2021-07-15,0.28,0.275
2018-07-16,0.28,2019-07-16,0.27,2020-07-15,0.29,2021-07-16,0.26,0.275
2018-07-17,0.28,2019-07-17,0.27,2020-07-16,0.28,2021-07-17,0.28,0.2775
2018-07-18,0.27,2019-07-18,0.28,2020-07-17,0.28,2021-07-18,0.31,0.285
2018-07-19,0.27,2019-07-19,0.27,2020-07-18,0.26,2021-07-19,0.28,0.27
2018-07-20,0.29,2019-07-20,0.26,2020-07-19,0.28,2021-07-20,0.3,0.2825
2018-07-21,0.28,2019-07-21,0.25,2020-07-20,0.27,2021-07-21,0.27,0.2675
2018-07-22,0.28,2019-07-22,0.28,2020-07-21,0.26,2021-07-22,0.29,0.2775
2018-07-23,0.28,2019-07-23,0.29,2020-07-22,0.25,2021-07-23,0.28,0.275
2018-07-24,0.28,2019-07-24,0.28,2020-07-23,0.26,2021-07-24,0.18,0.25
2018-07-25,0.27,2019-07-25,0.27,2020-07-24,0.26,2021-07-25,0.24,0.26
2018-07-26,0.25,2019-07-26,0.27,2020-07-25,0.26,2021-07-26,0.25,0.2575
2018-07-27,0.23,2019-07-27,0.27,2020-07-26,0.27,2021-07-27,0.17,0.235
2018-07-28,0.2,2019-07-28,0.28,2020-07-27,0.27,2021-07-28,0.28,0.2575
2018-07-29,0.22,2019-07-29,0.28,2020-07-28,0.26,2021-07-29,0.26,0.255
2018-07-30,0.19,2019-07-30,0.26,2020-07-29,0.28,2021-07-30,0.24,0.2425
2018-07-31,0.2,2019-07-31,0.26,2020-07-30,0.27,2021-07-31,0.28,0.2525
2018-08-01,0.23,2019-08-01,0.26,2020-07-31,0.27,2021-08-01,0.28,0.26
2018-08-02,0.25,2019-08-02,0.24,2020-08-01,0.25,2021-08-02,0.26,0.25
2018-08-03,0.24,2019-08-03,0.26,2020-08-02,0.26,2021-08-03,0.26,0.255
2018-08-04,0.25,2019-08-04,0.27,2020-08-03,0.26,2021-08-04,0.29,0.2675
2018-08-05,0.18,2019-08-05,0.24,2020-08-04,0.26,2021-08-05,0.22,0.225
2018-08-06,0.21,2019-08-06,0.27,2020-08-05,0.25,2021-08-06,0.24,0.2425
2018-08-07,0.2,2019-08-07,0.26,2020-08-06,0.23,2021-08-07,0.21,0.225
2018-08-08,0.21,2019-08-08,0.24,2020-08-07,0.26,2021-08-08,0.22,0.2325
2018-08-09,0.19,2019-08-09,0.18,2020-08-08,0.25,2021-08-09,0.24,0.215
2018-08-10,0.23,2019-08-10,0.13,2020-08-09,0.26,2021-08-10,0.23,0.2125
2018-08-11,0.23,2019-08-11,0.24,2020-08-10,0.26,2021-08-11,0.2,0.2325
2018-08-12,0.24,2019-08-12,0.23,2020-08-11,0.25,2021-08-12,0.2,0.23
2018-08-13,0.2,2019-08-13,0.24,2020-08-12,0.25,2021-08-13,0.19,0.22
2018-08-14,0.23,2019-08-14,0.25,2020-08-13,0.27,2021-08-14,0.22,0.2425
2018-08-15,0.23,2019-08-15,0.27,2020-08-14,0.25,2021-08-15,0.22,0.2425
2018-08-16,0.21,2019-08-16,0.28,2020-08-15,0.27,2021-08-16,0.18,0.235
2018-08-17,0.23,2019-08-17,0.25,2020-08-16,0.13,2021-08-17,0.14,0.1875
2018-08-18,0.21,2019-08-18,0.23,2020-08-17,0.09,2021-08-18,0.35,0.22
2018-08-19,0.2,2019-08-19,0.22,2020-08-18,0.23,2021-08-19,0.25,0.225
2018-08-20,0.19,2019-08-20,0.21,2020-08-19,0.12,2021-08-20,0.17,0.1725
2018-08-21,0.2,2019-08-21,0.2,2020-08-20,0.11,2021-08-21,0.17,0.17
2018-08-22,0.2,2019-08-22,0.26,2020-08-21,0.08,2021-08-22,0.19,0.1825
2018-08-23,0.21,2019-08-23,0.24,2020-08-22,0.16,2021-08-23,0.22,0.2075
2018-08-24,0.18,2019-08-24,0.23,2020-08-23,0.13,2021-08-24,0.22,0.19
2018-08-25,0.19,2019-08-25,0.23,2020-08-24,0.18,2021-08-25,0.21,0.2025
2018-08-26,0.18,2019-08-26,0.24,2020-08-25,0.16,2021-08-26,0.22,0.2
2018-08-27,0.19,2019-08-27,0.23,2020-08-26,0.16,2021-08-27,0.27,0.2125
2018-08-28,0.21,2019-08-28,0.22,2020-08-27,0.2,2021-08-28,0.2,0.2075
2018-08-29,0.21,2019-08-29,0.23,2020-08-28,0.22,2021-08-29,0.2,0.215
2018-08-30,0.2,2019-08-30,0.21,2020-08-29,0.15,2021-08-30,0.21,0.1925
2018-08-31,0.2,2019-08-31,0.21,2020-08-30,0.17,2021-08-31,0.22,0.2
2018-09-01,0.22,2019-09-01,0.23,2020-08-31,0.24,2021-09-01,0.21,0.225
2018-09-02,0.21,2019-09-02,0.22,2020-09-01,0.28,2021-09-02,0.18,0.2225
2018-09-03,0.19,2019-09-03,0.2,2020-09-02,0.18,2021-09-03,0.19,0.19
2018-09-04,0.21,2019-09-04,0.16,2020-09-03,0.18,2021-09-04,0.2,0.1875
2018-09-05,0.22,2019-09-05,0.24,2020-09-04,0.16,2021-09-05,0.21,0.2075
2018-09-06,0.2,2019-09-06,0.2,2020-09-05,0.21,2021-09-06,0.22,0.2075
2018-09-07,0.21,2019-09-07,0.19,2020-09-06,0.22,2021-09-07,0.24,0.215
2018-09-08,0.19,2019-09-08,0.18,2020-09-07,0.2,2021-09-08,0.18,0.1875
2018-09-09,0.2,2019-09-09,0.18,2020-09-08,0.37,2021-09-09,0.15,0.225
2018-09-10,0.19,2019-09-10,0.17,2020-09-09,0.08,2021-09-10,0.18,0.155
2018-09-11,0.22,2019-09-11,0.2,2020-09-10,0.09,2021-09-11,0.19,0.175
2018-09-12,0.17,2019-09-12,0.19,2020-09-11,0.13,2021-09-12,0.18,0.1675
2018-09-13,0.17,2019-09-13,0.19,2020-09-12,0.15,2021-09-13,0.18,0.1725
2018-09-14,0.17,2019-09-14,0.21,2020-09-13,0.15,2021-09-14,0.22,0.1875
2018-09-15,0.19,2019-09-15,0.21,2020-09-14,0.15,2021-09-15,0.18,0.1825
2018-09-16,0.17,2019-09-16,0.15,2020-09-15,0.17,2021-09-16,0.17,0.165
2018-09-17,0.17,2019-09-17,0.17,2020-09-16,0.15,2021-09-17,0.19,0.17
2018-09-18,0.16,2019-09-18,0.1,2020-09-17,0.2,2021-09-18,0.06,0.13
2018-09-19,0.21,2019-09-19,0.17,2020-09-18,0.16,2021-09-19,0.18,0.18
2018-09-20,0.22,2019-09-20,0.2,2020-09-19,0.17,2021-09-20,0.28,0.2175
2018-09-21,0.19,2019-09-21,0.2,2020-09-20,0.17,2021-09-21,0.2,0.19
2018-09-22,0.17,2019-09-22,0.13,2020-09-21,0.13,2021-09-22,0.18,0.1525
2018-09-23,0.17,2019-09-23,0.24,2020-09-22,0.15,2021-09-23,0.26,0.205
2018-09-24,0.22,2019-09-24,0.26,2020-09-23,0.15,2021-09-24,0.19,0.205
2018-09-25,0.25,2019-09-25,0.3,2020-09-24,0.14,2021-09-25,0.19,0.22
2018-09-26,0.17,2019-09-26,0.23,2020-09-25,0.14,2021-09-26,0.16,0.175
2018-09-27,0.17,2019-09-27,0.05,2020-09-26,0.22,2021-09-27,0.13,0.1425
2018-09-28,0.17,2019-09-28,0.17,2020-09-27,0.32,2021-09-28,0.21,0.2175
2018-09-29,0.13,2019-09-29,0.1,2020-09-28,0.29,2021-09-29,0.22,0.185
2018-09-30,0.14,2019-09-30,0.12,2020-09-29,0.13,2021-09-30,0.21,0.15
2018-10-01,0.07,2019-10-01,0.16,2020-09-30,0.19,2021-10-01,0.15,0.1425
2018-10-02,0.1,2019-10-02,0.13,2020-10-01,0.18,2021-10-02,0.15,0.14
2018-10-03,0.1,2019-10-03,0.16,2020-10-02,0.12,2021-10-03,0.14,0.13
2018-10-04,0.03,2019-10-04,0.16,2020-10-03,0.11,2021-10-04,0.16,0.115
2018-10-05,0.11,2019-10-05,0.2,2020-10-04,0.11,2021-10-05,0.17,0.1475
2018-10-06,0.18,2019-10-06,0.18,2020-10-05,0.15,2021-10-06,0.09,0.15
2018-10-07,0.26,2019-10-07,0.14,2020-10-06,0.14,2021-10-07,0.1,0.16
2018-10-08,0.22,2019-10-08,0.15,2020-10-07,0.14,2021-10-08,0.13,0.16
2018-10-09,0.16,2019-10-09,0.29,2020-10-08,0.09,2021-10-09,0.14,0.17
2018-10-10,0.14,2019-10-10,0.22,2020-10-09,0.11,2021-10-10,0.16,0.1575
2018-10-11,0.17,2019-10-11,0.14,2020-10-10,0.07,2021-10-11,0.25,0.1575
2018-10-12,0.2,2019-10-12,0.12,2020-10-11,0.17,2021-10-12,0.19,0.17
2018-10-13,0.21,2019-10-13,0.12,2020-10-12,0.15,2021-10-13,0.11,0.1475
2018-10-14,0.24,2019-10-14,0.12,2020-10-13,0.13,2021-10-14,0.2,0.1725
